effect_type,feature,qp,resampling,n_images,n_clusters,family_size,alpha,bootstrap_resamples,rho_clean,rho_noisy_mean3,b_homogeneity,b_other,estimate,bound_low,bound_high,simultaneous_low,simultaneous_high,critical_value,evaluable,invalid_resamples,excludes_zero
B,edge_fraction,32,image,48,48,44,0.05,99999,0.7026704298740774,0.1961333204519542,-0.7690153872137985,-0.5065371094221232,-0.5065371094221232,-2.0,2.0,-1.0104259563856428,-0.002648262458603501,0.5038888469635197,True,0,True
B,edge_fraction,37,image,48,48,44,0.05,99999,0.7354537559704735,0.37699719947328214,-0.6325609452638039,-0.3584565564971913,-0.3584565564971913,-2.0,2.0,-0.862345403460711,0.14543229046632833,0.5038888469635197,True,0,False
B,glcm_contrast,22,image,48,48,44,0.05,99999,0.741858445505862,0.21826602981618182,-0.8859820523954264,-0.5235924156896802,-0.5235924156896802,-2.0,2.0,-1.0274812626532,-0.019703568726160525,0.5038888469635197,True,0,True
B,glcm_contrast,27,image,48,48,44,0.05,99999,0.7673686495874947,0.4809892745236126,-0.680036529804479,-0.2863793750638821,-0.2863793750638821,-2.0,2.0,-0.7902682220274018,0.21750947189963754,0.5038888469635197,True,0,False
B,glcm_contrast,32,image,48,48,44,0.05,99999,0.8226226660877118,0.44105895970050746,-0.7690153872137985,-0.3815637063872044,-0.3815637063872044,-2.0,2.0,-0.885452553350724,0.12232514057631527,0.5038888469635197,True,0,False
B,glcm_contrast,37,image,48,48,44,0.05,99999,0.8764654798089451,0.5769159158406804,-0.6325609452638039,-0.2995495639682647,-0.2995495639682647,-2.0,2.0,-0.8034384109317844,0.20433928299525494,0.5038888469635197,True,0,False
B,glcm_entropy,22,image,48,48,44,0.05,99999,0.5325662179765523,-0.07164567954841512,-0.8859820523954264,-0.6042118975249675,-0.6042118975249675,-2.0,2.0,-1.1081007444884872,-0.10032305056144786,0.5038888469635197,True,0,True
B,glcm_entropy,27,image,48,48,44,0.05,99999,0.5856491532783327,0.10745152538951813,-0.680036529804479,-0.47819762788881454,-0.47819762788881454,-2.0,2.0,-0.9820864748523341,0.02569121907470512,0.5038888469635197,True,0,False
B,glcm_entropy,32,image,48,48,44,0.05,99999,0.6264654798089448,0.06419212413772869,-0.7690153872137985,-0.5622733556712162,-0.5622733556712162,-2.0,2.0,-1.066162202634736,-0.058384508707696514,0.5038888469635197,True,0,True
B,glcm_entropy,37,image,48,48,44,0.05,99999,0.6910551454624404,0.2523182337959697,-0.6325609452638039,-0.4387369116664707,-0.4387369116664707,-2.0,2.0,-0.9426257586299904,0.06515193529704894,0.5038888469635197,True,0,False
B,glcm_homogeneity,22,image,48,48,44,0.05,99999,-0.6673903603994791,0.21859169199594733,-0.8859820523954264,-0.8859820523954264,-0.8859820523954264,-2.0,2.0,-1.3898708993589461,-0.3820932054319067,0.5038888469635197,True,0,True
B,glcm_homogeneity,27,image,48,48,44,0.05,99999,-0.7132001736864961,-0.03316364388201712,-0.680036529804479,-0.680036529804479,-0.680036529804479,-2.0,2.0,-1.1839253767679987,-0.17614768284095939,0.5038888469635197,True,0,True
