image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
barbara,720,576,32,baseline,24211,51.388211969765806,0.4670331790123457,24.211,35.6417,40.9721,39.4999,0.939763,40.5081,89.320992,0.988494983059419,0.970409342169095,0.919870516476053,37.4778565908499,33.3718899386482,0.981463137560122
barbara,720,576,32,csf,23074,53.92042992112334,0.4451003086419753,23.074,35.0503,40.8101,39.2979,0.937391,40.0077,89.153157,0.988004329276314,0.966576173538733,0.916848214153174,37.3198801693759,32.9557721077993,0.981011705791713
barbara,720,576,22,baseline,79222,15.704728484511879,1.5282021604938272,79.222,41.7277,44.6279,43.498,0.971349,46.0257,95.863328,0.99709596405657,0.992187033157062,0.985052284412091,47.1380275571501,38.218158297247,0.993314371299717
barbara,720,576,22,csf,74077,16.795496577885174,1.428954475308642,74.077,40.6643,44.2617,43.1017,0.968898,45.1717,95.497854,0.996720344133901,0.990244544061523,0.983254111358369,46.9368075301661,37.5435264078249,0.992962666674081
barbara,720,576,37,baseline,13278,93.7008585630366,0.25613425925925926,13.278,32.4611,39.2914,37.6414,0.915854,37.485,80.579139,0.978145673304956,0.944794188189046,0.847122308090038,32.5425694213123,30.7617121518825,0.968735871419643
barbara,720,576,37,csf,12599,98.75069449956345,0.24303626543209877,12.599,31.9656,39.159,37.5327,0.913111,37.093,80.532915,0.97755628395029,0.938187472364885,0.84576798742996,32.4946740190605,30.3965969709518,0.968097597804688
goldhill,720,576,37,baseline,7736,160.82730093071353,0.14922839506172839,7.736,31.1343,39.7838,35.675,0.855505,34.8389,74.015575,0.947575289700827,0.831971253024407,0.75632231658862,29.8167504755486,29.5307340302375,0.932318626869124
goldhill,720,576,37,csf,7763,160.2679376529692,0.14974922839506172,7.763,31.0723,39.8148,35.6687,0.85481,34.8026,73.847189,0.947672284167166,0.828908755902056,0.758099268654592,29.829486645714,29.4867594384275,0.932627951929028
goldhill,720,576,32,baseline,17184,72.40223463687151,0.3314814814814815,17.184,33.6546,41.2381,36.9835,0.895952,37.2572,85.686731,0.974097676122295,0.900151080902475,0.868915122376401,34.5215331960341,31.6515699229722,0.961984780729732
goldhill,720,576,32,csf,16751,74.27377470001791,0.3231288580246914,16.751,33.4613,41.2114,36.9343,0.894751,37.1145,85.496311,0.973801195891042,0.896154152505227,0.866220953864748,34.4488394653303,31.5107104078657,0.961643482754782
lenna,512,512,37,baseline,5562,141.39374325782092,0.16973876953125,5.562,33.4079,38.9827,35.5543,0.872252,37.507,83.080679,0.973368335754998,0.887886373821258,0.862889071402558,33.5992719251653,31.3101493138862,0.95655494231512
lenna,512,512,37,csf,5516,142.572878897752,0.1683349609375,5.516,33.2929,38.9535,35.5428,0.871385,37.385,83.361888,0.972909457921739,0.884666375758413,0.861983637804739,33.488474223366,31.244073615581,0.956137764636716
goldhill,720,576,27,baseline,39182,31.753356132918178,0.7558256172839506,39.182,36.6936,42.5106,38.3865,0.92773,40.155,92.019657,0.988850017699536,0.950563112882216,0.944464133122333,40.3685137613303,33.9764469970802,0.978993650287263
goldhill,720,576,27,csf,36931,33.68877095123338,0.712403549382716,36.931,36.1866,42.4527,38.2372,0.925042,39.7242,91.640326,0.98790218468668,0.944516495738384,0.940532335563088,40.1013116458712,33.6448931889661,0.978212461139655
lenna,512,512,27,baseline,24988,31.472386745637905,0.7625732421875,24.988,37.6549,40.9217,38.1929,0.917421,41.6749,94.448891,0.989566022071477,0.950537152550865,0.959039592771594,41.3372172862215,34.5121624963119,0.97900864150029
lenna,512,512,27,csf,22974,34.231392008357275,0.70111083984375,22.974,37.2183,40.7864,37.9489,0.914415,41.2465,94.20013,0.98901108398179,0.946351647651168,0.956771745027323,41.1403243151167,34.2157661298412,0.978366339220266
lenna,512,512,32,baseline,10813,72.73023212799409,0.329986572265625,10.813,35.4598,39.9262,36.7138,0.894856,39.5142,90.515192,0.983173111035314,0.923827403558386,0.91981501992262,37.4573463370254,32.8548342638739,0.969117971336826
lenna,512,512,32,csf,10626,74.01016374929418,0.32427978515625,10.626,35.2861,39.9309,36.6644,0.893699,39.3531,90.295724,0.982710744663513,0.919416253799419,0.918899224055842,37.3694593222471,32.7661846324946,0.968916368588269
lenna,512,512,22,baseline,75681,10.391406033218377,2.309600830078125,75.681,42.2103,42.9666,42.1,0.961865,46.1682,96.003633,0.996505353314686,0.985374391394293,0.986539808259613,47.0928352375334,37.8545533964522,0.990866210771117
lenna,512,512,22,csf,71745,10.961488605477733,2.189483642578125,71.745,41.1601,42.5037,41.271,0.956695,45.1448,95.903236,0.995959490156877,0.981534505677257,0.984604987377483,46.6032161576273,37.1130697723539,0.989856316201843
goldhill,720,576,22,baseline,110540,11.255292201917857,2.1323302469135803,110.54,41.696,44.6866,42.5745,0.967805,44.8726,95.658668,0.996730202966841,0.985384469922456,0.985197834306581,47.8137758080812,38.0381758009701,0.991906761659179
goldhill,720,576,22,csf,100221,12.414164696021793,1.933275462962963,100.221,40.4131,44.312,41.2802,0.960592,43.7288,95.264542,0.995956247258392,0.980170984907585,0.982688687030443,47.4151954902054,37.0060946605966,0.990768202366112
peppers,512,512,37,baseline,6078,129.3899308983218,0.18548583984375,6.078,33.2593,37.1675,34.2073,0.861165,37.2669,83.266614,0.972311080928476,0.888854318041218,0.857913253527333,33.0644693482814,30.4683139523256,0.953457779718081
peppers,512,512,37,csf,6076,129.43252139565504,0.1854248046875,6.076,33.1872,37.1527,34.1998,0.861047,37.1975,83.032594,0.97186136484094,0.88803446513316,0.85712937456514,32.9950262273132,30.4197677359955,0.953293663395393
peppers,512,512,32,baseline,11049,71.17675807765409,0.337188720703125,11.049,34.9139,38.3472,35.4222,0.880545,38.8297,90.852359,0.980584586769113,0.913678430294681,0.914669327312716,36.5804993371687,31.8688536445764,0.96666362907455
peppers,512,512,32,csf,10891,72.20934716738591,0.332366943359375,10.891,34.8561,38.3019,35.3818,0.880182,38.7828,90.742442,0.980632002262237,0.91314179805414,0.913129766389439,36.5345300990972,31.8274633014528,0.966565482305817
peppers,512,512,27,baseline,26426,29.759782032846438,0.80645751953125,26.426,37.0078,39.6347,36.9592,0.909978,40.8357,94.603921,0.988170022018652,0.943991272703402,0.955071626781007,40.5835902126705,33.5519913738596,0.977935731031786
peppers,512,512,27,csf,22966,34.24331620656623,0.70086669921875,22.966,36.5029,39.328,36.4876,0.900256,40.3725,94.670408,0.98742568605189,0.937605957161893,0.953780242195773,40.4630069539251,33.1272026142497,0.976804084373264
peppers,512,512,22,baseline,76993,10.214331172963776,2.349639892578125,76.993,41.2938,41.5111,40.8033,0.954316,45.089,96.162558,0.995557707243146,0.981210275052341,0.983648897755252,46.0063753285133,36.7835138973846,0.989269700378377
peppers,512,512,22,csf,75158,10.463716437371936,2.29364013671875,75.158,40.1096,40.8573,39.7319,0.944608,43.9951,95.961049,0.994776276371725,0.976029593961352,0.981751219510937,45.6371029483612,35.8687722247099,0.988162117263649
