image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
barbara,512,512,32,baseline,14042,56.00569719413189,0.42852783203125,14.042,35.9435,999.99,999.99,0.982259,40.6577,89.577264,0.988909248902243,0.970924014404637,0.919500177554607,37.7659849348691,35.7940429486622,0.988550701778077
barbara,512,512,32,csf,13381,58.77228906658695,0.408355712890625,13.381,35.2692,999.99,999.99,0.981165,40.1034,89.18341,0.98836286027231,0.967007627919824,0.917665179254959,37.6066518401875,35.1299620269039,0.988118413048669
goldhill,512,512,37,baseline,6092,129.0925804333552,0.1859130859375,6.092,31.3488,999.99,999.99,0.944289,35.2833,79.24006,0.96046832225358,0.854226130736232,0.791549196941977,30.9944703411819,31.2959768690015,0.960685520784731
goldhill,512,512,37,csf,6017,130.70167857736413,0.183624267578125,6.017,31.2232,999.99,999.99,0.942752,35.1916,78.982202,0.959782426353599,0.848425124564695,0.791010509229471,31.0166256348855,31.1781926227703,0.960249991730326
goldhill,512,512,32,baseline,13142,59.841120073048245,0.40106201171875,13.142,34.1129,999.99,999.99,0.967756,37.9734,88.765393,0.981572187874713,0.920390594547957,0.895574460385181,36.3441955539444,34.014957774766,0.982035829208034
goldhill,512,512,32,csf,12544,62.69387755102041,0.3828125,12.544,33.793,999.99,999.99,0.966124,37.6927,88.384551,0.980706925907387,0.91395899719216,0.891246095633015,36.1595177651688,33.7053549999135,0.981422976650087
goldhill,512,512,27,baseline,26860,29.2789277736411,0.8197021484375,26.86,37.4538,999.99,999.99,0.983639,41.2467,93.450619,0.992516737428626,0.963836358953749,0.956404967096803,42.5384786171408,37.2464492604919,0.992639830691998
goldhill,512,512,27,csf,25438,30.915638021857063,0.77630615234375,25.438,36.7745,999.99,999.99,0.981788,40.6119,93.044648,0.991512222750724,0.957652819338864,0.952848693634076,42.1447130179978,36.5958123120531,0.991952419506419
goldhill,512,512,22,baseline,49997,15.729583775026502,1.525787353515625,49.997,41.7635,999.99,999.99,0.993242,45.4801,95.706883,0.997357189875895,0.98731775623877,0.984192953273819,48.1830709435863,41.2220672034215,0.99730999229676
goldhill,512,512,22,csf,48270,16.29235550031075,1.47308349609375,48.27,40.3756,999.99,999.99,0.991462,44.1442,95.442693,0.996619431770012,0.982388371777828,0.982218376241571,47.7672510236153,39.9718612353656,0.996785717067668
lenna,512,512,27,baseline,14264,55.13404374649467,0.435302734375,14.264,38.5941,999.99,999.99,0.980824,42.5144,94.312357,0.991265502003405,0.96221063877564,0.961632662266691,41.5825458261512,38.3013737281285,0.991121875228876
lenna,512,512,27,csf,13592,57.8599175985874,0.414794921875,13.592,38.2487,999.99,999.99,0.980246,42.1895,94.060989,0.990920865105097,0.959237498086913,0.960495788401694,41.4359463709542,37.978619557418,0.990852186258665
