distortion,level,seed,qp,feature,primary,n_images,variant,rho_primary,rho_variant
stripes,16,,22,glcm_homogeneity,True,24,levels32,-0.7669565217391303,-0.7869565217391304
stripes,16,,22,glcm_homogeneity,True,24,horizontal,-0.7669565217391303,-0.7626086956521738
stripes,16,,27,glcm_contrast,True,24,levels32,0.7504347826086956,0.7
stripes,16,,27,glcm_contrast,True,24,horizontal,0.7504347826086956,0.7347826086956522
stripes,16,,27,glcm_entropy,True,24,levels32,0.6878260869565217,0.7504347826086957
stripes,16,,27,glcm_entropy,True,24,horizontal,0.6878260869565217,0.6617391304347826
stripes,16,,27,glcm_homogeneity,True,24,levels32,-0.8130434782608695,-0.8347826086956521
stripes,16,,27,glcm_homogeneity,True,24,horizontal,-0.8130434782608695,-0.7756521739130435
stripes,16,,32,glcm_contrast,True,24,levels32,0.7895652173913044,0.7660869565217391
stripes,16,,32,glcm_contrast,True,24,horizontal,0.7895652173913044,0.7808695652173913
stripes,16,,32,glcm_entropy,True,24,levels32,0.717391304347826,0.7669565217391304
stripes,16,,32,glcm_entropy,True,24,horizontal,0.717391304347826,0.6834782608695652
stripes,16,,32,glcm_homogeneity,True,24,levels32,-0.8182608695652174,-0.8330434782608696
stripes,16,,32,glcm_homogeneity,True,24,horizontal,-0.8182608695652174,-0.7826086956521738
stripes,16,,37,glcm_contrast,True,24,levels32,0.8573913043478261,0.8426086956521739
stripes,16,,37,glcm_contrast,True,24,horizontal,0.8573913043478261,0.837391304347826
stripes,16,,37,glcm_entropy,True,24,levels32,0.7860869565217391,0.828695652173913
stripes,16,,37,glcm_entropy,True,24,horizontal,0.7860869565217391,0.7556521739130434
stripes,16,,37,glcm_homogeneity,True,24,levels32,-0.8434782608695652,-0.8504347826086956
stripes,16,,37,glcm_homogeneity,True,24,horizontal,-0.8434782608695652,-0.8017391304347825
stripes,32,,22,glcm_contrast,True,24,levels32,0.6965217391304348,0.6852173913043478
stripes,32,,22,glcm_contrast,True,24,horizontal,0.6965217391304348,0.7078260869565216
stripes,32,,22,glcm_entropy,True,24,levels32,0.5504347826086956,0.6373913043478261
stripes,32,,22,glcm_entropy,True,24,horizontal,0.5504347826086956,0.6208695652173912
stripes,32,,22,glcm_homogeneity,True,24,levels32,-0.7356521739130434,-0.7408695652173913
stripes,32,,22,glcm_homogeneity,True,24,horizontal,-0.7356521739130434,-0.7113043478260869
stripes,32,,27,glcm_contrast,True,24,levels32,0.7686956521739131,0.7478260869565218
stripes,32,,27,glcm_contrast,True,24,horizontal,0.7686956521739131,0.7513043478260869
stripes,32,,27,glcm_entropy,True,24,levels32,0.5808695652173912,0.6765217391304348
stripes,32,,27,glcm_entropy,True,24,horizontal,0.5808695652173912,0.6565217391304348
stripes,32,,27,glcm_homogeneity,True,24,levels32,-0.78,-0.7817391304347826
stripes,32,,27,glcm_homogeneity,True,24,horizontal,-0.78,-0.7513043478260869
stripes,32,,32,glcm_contrast,True,24,levels32,0.8008695652173914,0.7808695652173913
stripes,32,,32,glcm_contrast,True,24,horizontal,0.8008695652173914,0.7834782608695652
stripes,32,,32,glcm_entropy,True,24,levels32,0.6121739130434782,0.7060869565217391
stripes,32,,32,glcm_entropy,True,24,horizontal,0.6121739130434782,0.6921739130434783
stripes,32,,32,glcm_homogeneity,True,24,levels32,-0.7956521739130435,-0.8008695652173913
stripes,32,,32,glcm_homogeneity,True,24,horizontal,-0.7956521739130435,-0.7817391304347825
stripes,32,,37,glcm_contrast,True,24,levels32,0.8547826086956521,0.84
stripes,32,,37,glcm_contrast,True,24,horizontal,0.8547826086956521,0.8078260869565217
stripes,32,,37,glcm_entropy,True,24,levels32,0.6678260869565218,0.7478260869565216
stripes,32,,37,glcm_entropy,True,24,horizontal,0.6678260869565218,0.7252173913043478
stripes,32,,37,glcm_homogeneity,True,24,levels32,-0.8217391304347825,-0.817391304347826
stripes,32,,37,glcm_homogeneity,True,24,horizontal,-0.8217391304347825,-0.8043478260869565
