distortion,level,seed,qp,feature,primary,n_images,family,reference_index,cell_index,raw_rho_difference,oriented_difference,pointwise_low,pointwise_high,pointwise_invalid_resamples,pointwise_evaluable,pointwise_degenerate,simultaneous_low,simultaneous_high
awgn,5,20260811,27,glcm_homogeneity,True,24,RQ2,227,11,-0.0005984465653222637,0.0005984465653222637,-0.13298117399789447,0.13378362703728985,0,True,False,-0.6991272943874662,0.7003241875181108
awgn,5,20260811,32,sobel_si,True,24,RQ2,228,12,0.00782608695652176,0.00782608695652176,-0.04547442063839091,0.07524059492563429,0,True,False,-0.6918996539962667,0.7075518279093103
awgn,5,20260811,32,luma_sd,True,24,RQ2,229,13,0.0008695652173912882,0.0008695652173912882,-0.07342657342657341,0.07954719362404115,0,True,False,-0.6988561757353973,0.7005953061701797
awgn,5,20260811,32,edge_fraction,True,24,RQ2,230,14,0.008695652173912993,0.008695652173912993,-0.04364906154517678,0.07352297592997803,0,True,False,-0.6910300887788755,0.7084213931267015
awgn,5,20260811,32,glcm_contrast,True,24,RQ2,231,15,0.019999999999999907,0.019999999999999907,-0.07011547205682273,0.12248468941382329,0,True,False,-0.6797257409527886,0.7197257409527884
awgn,5,20260811,32,glcm_entropy,True,24,RQ2,232,16,-0.04173913043478261,-0.04173913043478261,-0.14055235624384857,0.0525394045534151,0,True,False,-0.7414648713875711,0.6579866105180059
awgn,5,20260811,32,glcm_homogeneity,True,24,RQ2,233,17,0.004347826086956386,-0.004347826086956386,-0.11446046308431623,0.11106252732837762,0,True,False,-0.7040735670397449,0.6953779148658321
awgn,5,20260811,37,sobel_si,True,24,RQ2,234,18,0.01043478260869568,0.01043478260869568,-0.004366812227074357,0.04722343681679053,0,True,False,-0.6892909583440928,0.7101605235614842
awgn,5,20260811,37,luma_sd,True,24,RQ2,235,19,0.0,0.0,-0.03580786026200872,0.03328953131844059,0,True,False,-0.6997257409527885,0.6997257409527885
awgn,5,20260811,37,edge_fraction,True,24,RQ2,236,20,-0.008695652173912993,-0.008695652173912993,-0.06842105263157894,0.040209790209790104,0,True,False,-0.7084213931267015,0.6910300887788755
awgn,5,20260811,37,glcm_contrast,True,24,RQ2,237,21,0.012173913043478257,0.012173913043478257,-0.06933017461796652,0.09719789842381776,0,True,False,-0.6875518279093102,0.7118996539962668
awgn,5,20260811,37,glcm_entropy,True,24,RQ2,238,22,-0.034782608695652195,-0.034782608695652195,-0.13712089907875322,0.05591961555264313,0,True,False,-0.7345083496484407,0.6649431322571363
awgn,5,20260811,37,glcm_homogeneity,True,24,RQ2,239,23,0.003478260869565153,-0.003478260869565153,-0.1112571178274201,0.08249413182390984,0,True,False,-0.7032040018223537,0.6962474800832233
awgn,15,20260811,22,sobel_si,True,24,RQ2,216,72,0.2923579049900962,0.2923579049900962,0.0651408450704225,0.6429050116406207,0,True,False,-0.4073678359626923,0.9920836459428847
