omitted_source,distortion,level,seed,qp,feature,primary,n_images,family,reference_index,cell_index,raw_rho_difference,oriented_difference
kodim01.png,awgn,30,20260811,37,luma_sd,True,23,RQ2,235,163,0.06126482213438733,0.06126482213438733
kodim01.png,awgn,30,20260811,37,edge_fraction,True,23,RQ2,236,164,-0.26976284584980237,-0.26976284584980237
kodim01.png,awgn,30,20260811,37,glcm_contrast,True,23,RQ2,237,165,-0.2203557312252965,-0.2203557312252965
kodim01.png,awgn,30,20260811,37,glcm_entropy,True,23,RQ2,238,166,-0.41600790513833996,-0.41600790513833996
kodim01.png,awgn,30,20260811,37,glcm_homogeneity,True,23,RQ2,239,167,0.6205533596837943,-0.6205533596837943
kodim01.png,clean,0,,22,luma_sd,True,23,RQ1,216,217,-0.3833992094861661,-0.3833992094861661
kodim01.png,clean,0,,22,edge_fraction,True,23,RQ1,216,218,0.26778656126482203,0.26778656126482203
kodim01.png,clean,0,,22,glcm_contrast,True,23,RQ1,216,219,0.09090909090909072,0.09090909090909072
kodim01.png,clean,0,,22,glcm_entropy,True,23,RQ1,216,220,0.13043478260869545,0.13043478260869545
kodim01.png,clean,0,,22,glcm_homogeneity,True,23,RQ1,216,221,-1.1877470355731226,0.18577075098814222
kodim01.png,clean,0,,27,luma_sd,True,23,RQ1,222,223,-0.42094861660079064,-0.42094861660079064
kodim01.png,clean,0,,27,edge_fraction,True,23,RQ1,222,224,0.23320158102766775,0.23320158102766775
kodim01.png,clean,0,,27,glcm_contrast,True,23,RQ1,222,225,0.07114624505928846,0.07114624505928846
kodim01.png,clean,0,,27,glcm_entropy,True,23,RQ1,222,226,0.10079051383399185,0.10079051383399185
kodim01.png,clean,0,,27,glcm_homogeneity,True,23,RQ1,222,227,-1.3043478260869565,0.1561264822134386
kodim01.png,clean,0,,32,luma_sd,True,23,RQ1,228,229,-0.4624505928853756,-0.4624505928853756
kodim01.png,clean,0,,32,edge_fraction,True,23,RQ1,228,230,0.17786561264822132,0.17786561264822132
kodim01.png,clean,0,,32,glcm_contrast,True,23,RQ1,228,231,0.06225296442687733,0.06225296442687733
kodim01.png,clean,0,,32,glcm_entropy,True,23,RQ1,228,232,0.03458498023715406,0.03458498023715406
kodim01.png,clean,0,,32,glcm_homogeneity,True,23,RQ1,228,233,-1.4614624505928853,0.10968379446640297
kodim01.png,clean,0,,37,luma_sd,True,23,RQ1,234,235,-0.515810276679842,-0.515810276679842
kodim01.png,clean,0,,37,edge_fraction,True,23,RQ1,234,236,0.12944664031620545,0.12944664031620545
kodim01.png,clean,0,,37,glcm_contrast,True,23,RQ1,234,237,0.05434782608695654,0.05434782608695654
kodim01.png,clean,0,,37,glcm_entropy,True,23,RQ1,234,238,-0.02075098814229248,-0.02075098814229248
kodim01.png,clean,0,,37,glcm_homogeneity,True,23,RQ1,234,239,-1.5820158102766797,0.06422924901185756
kodim01.png,stripes,8,,22,sobel_si,True,23,RQ2,216,240,0.059288537549406994,0.059288537549406994
kodim01.png,stripes,8,,22,luma_sd,True,23,RQ2,217,241,0.016798418972331988,0.016798418972331988
kodim01.png,stripes,8,,22,edge_fraction,True,23,RQ2,218,242,0.03754940711462451,0.03754940711462451
kodim01.png,stripes,8,,22,glcm_contrast,True,23,RQ2,219,243,0.03063241106719372,0.03063241106719372
kodim01.png,stripes,8,,22,glcm_entropy,True,23,RQ2,220,244,0.007905138339921125,0.007905138339921125
kodim01.png,stripes,8,,22,glcm_homogeneity,True,23,RQ2,221,245,-0.004940711462450564,0.004940711462450564
kodim01.png,stripes,8,,27,sobel_si,True,23,RQ2,222,246,0.06027667984189722,0.06027667984189722
kodim01.png,stripes,8,,27,luma_sd,True,23,RQ2,223,247,0.05434782608695654,0.05434782608695654
kodim01.png,stripes,8,,27,edge_fraction,True,23,RQ2,224,248,0.01284584980237169,0.01284584980237169
kodim01.png,stripes,8,,27,glcm_contrast,True,23,RQ2,225,249,0.029644268774703608,0.029644268774703608
kodim01.png,stripes,8,,27,glcm_entropy,True,23,RQ2,226,250,-0.012845849802371578,-0.012845849802371578
kodim01.png,stripes,8,,27,glcm_homogeneity,True,23,RQ2,227,251,0.010869565217391242,-0.010869565217391242
kodim01.png,stripes,8,,32,sobel_si,True,23,RQ2,228,252,0.0039525691699604515,0.0039525691699604515
kodim01.png,stripes,8,,32,luma_sd,True,23,RQ2,229,253,0.022727272727272707,0.022727272727272707
kodim01.png,stripes,8,,32,edge_fraction,True,23,RQ2,230,254,-0.0039525691699606735,-0.0039525691699606735
kodim01.png,stripes,8,,32,glcm_contrast,True,23,RQ2,231,255,-0.008893280632410905,-0.008893280632410905
kodim01.png,stripes,8,,32,glcm_entropy,True,23,RQ2,232,256,-0.004940711462450564,-0.004940711462450564
kodim01.png,stripes,8,,32,glcm_homogeneity,True,23,RQ2,233,257,0.02075098814229248,-0.02075098814229248
kodim01.png,stripes,8,,37,sobel_si,True,23,RQ2,234,258,0.022727272727272707,0.022727272727272707
kodim01.png,stripes,8,,37,luma_sd,True,23,RQ2,235,259,0.03754940711462451,0.03754940711462451
kodim01.png,stripes,8,,37,edge_fraction,True,23,RQ2,236,260,-0.007905138339921014,-0.007905138339921014
kodim01.png,stripes,8,,37,glcm_contrast,True,23,RQ2,237,261,0.007905138339921014,0.007905138339921014
kodim01.png,stripes,8,,37,glcm_entropy,True,23,RQ2,238,262,0.04940711462450598,0.04940711462450598
kodim01.png,stripes,8,,37,glcm_homogeneity,True,23,RQ2,239,263,-0.008893280632411238,0.008893280632411238
kodim01.png,stripes,16,,22,sobel_si,True,23,RQ2,216,264,0.024703557312252933,0.024703557312252933
kodim01.png,stripes,16,,22,luma_sd,True,23,RQ2,217,265,0.07114624505928856,0.07114624505928856
kodim01.png,stripes,16,,22,edge_fraction,True,23,RQ2,218,266,0.032608695652173725,0.032608695652173725
kodim01.png,stripes,16,,22,glcm_contrast,True,23,RQ2,219,267,0.058300395256917104,0.058300395256917104
kodim01.png,stripes,16,,22,glcm_entropy,True,23,RQ2,220,268,-0.04743083003952564,-0.04743083003952564
kodim01.png,stripes,16,,22,glcm_homogeneity,True,23,RQ2,221,269,-0.06027667984189711,0.06027667984189711
kodim01.png,stripes,16,,27,sobel_si,True,23,RQ2,222,270,0.022727272727272707,0.022727272727272707
kodim01.png,stripes,16,,27,luma_sd,True,23,RQ2,223,271,0.013833992094861636,0.013833992094861636
kodim01.png,stripes,16,,27,edge_fraction,True,23,RQ2,224,272,0.04743083003952575,0.04743083003952575
kodim01.png,stripes,16,,27,glcm_contrast,True,23,RQ2,225,273,0.07905138339920947,0.07905138339920947
kodim01.png,stripes,16,,27,glcm_entropy,True,23,RQ2,226,274,-0.015810276679841806,-0.015810276679841806
kodim01.png,stripes,16,,27,glcm_homogeneity,True,23,RQ2,227,275,-0.07015810276679835,0.07015810276679835
kodim01.png,stripes,16,,32,sobel_si,True,23,RQ2,228,276,0.01383399209486158,0.01383399209486158
kodim01.png,stripes,16,,32,luma_sd,True,23,RQ2,229,277,0.01185770750988141,0.01185770750988141
kodim01.png,stripes,16,,32,edge_fraction,True,23,RQ2,230,278,0.00691699604743079,0.00691699604743079
kodim01.png,stripes,16,,32,glcm_contrast,True,23,RQ2,231,279,0.028656126482213495,0.028656126482213495
kodim01.png,stripes,16,,32,glcm_entropy,True,23,RQ2,232,280,-0.022727272727272596,-0.022727272727272596
kodim01.png,stripes,16,,32,glcm_homogeneity,True,23,RQ2,233,281,-0.015810276679842028,0.015810276679842028
kodim01.png,stripes,16,,37,sobel_si,True,23,RQ2,234,282,0.04446640316205541,0.04446640316205541
kodim01.png,stripes,16,,37,luma_sd,True,23,RQ2,235,283,0.04743083003952575,0.04743083003952575
kodim01.png,stripes,16,,37,edge_fraction,True,23,RQ2,236,284,-0.015810276679842028,-0.015810276679842028
kodim01.png,stripes,16,,37,glcm_contrast,True,23,RQ2,237,285,0.03063241106719361,0.03063241106719361
kodim01.png,stripes,16,,37,glcm_entropy,True,23,RQ2,238,286,0.02667984189723327,0.02667984189723327
kodim01.png,stripes,16,,37,glcm_homogeneity,True,23,RQ2,239,287,-0.006916996047431012,0.006916996047431012
kodim01.png,stripes,32,,22,sobel_si,True,23,RQ2,216,288,0.06719367588932812,0.06719367588932812
kodim01.png,stripes,32,,22,luma_sd,True,23,RQ2,217,289,0.0711462450592885,0.0711462450592885
kodim01.png,stripes,32,,22,edge_fraction,True,23,RQ2,218,290,-0.10869565217391308,-0.10869565217391308
kodim01.png,stripes,32,,22,glcm_contrast,True,23,RQ2,219,291,0.07509881422924913,0.07509881422924913
