analysis_status,family,seed_summary,seeds,n_seeds,distortion,level,qp,feature,reference_feature,n_images,b_homogeneity,b_other,oriented_difference,definition,family_size,alpha,bootstrap_resamples,simultaneous_low,simultaneous_high,critical_value,evaluable,excludes_zero
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,32,sobel_si,glcm_homogeneity,24,-0.7243374257199842,0.08687062416453195,-0.8112080498845161,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.5582576125235135,-0.06415848724551876,0.7470495626389974,True,True
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,32,luma_sd,glcm_homogeneity,24,-0.7243374257199842,0.3722124889500662,-1.0965499146700504,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.8435994773090476,-0.349500352031053,0.7470495626389974,True,True
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,32,edge_fraction,glcm_homogeneity,24,-0.7243374257199842,-0.39126886051332715,-0.333068565206657,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.0801181278456544,0.41398099743234035,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,32,glcm_contrast,glcm_homogeneity,24,-0.7243374257199842,-0.2702523822351002,-0.454085043484884,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.2011346061238815,0.29296451915411337,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,32,glcm_entropy,glcm_homogeneity,24,-0.7243374257199842,-0.4722996471752068,-0.2520377785447774,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-0.9990873411837747,0.49501178409422,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,37,sobel_si,glcm_homogeneity,24,-0.5808695652173914,-0.004637681159420204,-0.5762318840579712,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.3232814466969685,0.17081767858102614,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,37,luma_sd,glcm_homogeneity,24,-0.5808695652173914,0.15101449275362316,-0.7318840579710146,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.4789336206100119,0.015165504667982721,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,37,edge_fraction,glcm_homogeneity,24,-0.5808695652173914,-0.26550724637681156,-0.31536231884057986,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.0624118814795773,0.4316872437984175,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,37,glcm_contrast,glcm_homogeneity,24,-0.5808695652173914,-0.2049275362318841,-0.3759420289855073,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.1229915916245048,0.37110753365349003,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,37,glcm_entropy,glcm_homogeneity,24,-0.5808695652173914,-0.3910144927536232,-0.1898550724637682,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-0.9369046351027656,0.5571944901752292,0.7470495626389974,True,False
