distortion,level,seed,qp,feature,primary,n_images,rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate
awgn,15,20260811,22,luma_sd,True,24,-0.1026086956521739,-0.553210664577114,0.40638379516598694,0,True,False
awgn,15,20260811,22,edge_fraction,True,24,0.19826086956521735,-0.2406839105655414,0.583847247491383,0,True,False
awgn,15,20260811,22,glcm_contrast,True,24,0.08086956521739125,-0.40925159033516717,0.5657492354740061,0,True,False
awgn,15,20260811,22,glcm_entropy,True,24,0.14260869565217385,-0.3072888067591997,0.562062937062937,0,True,False
awgn,15,20260811,22,glcm_homogeneity,True,24,0.06434782608695655,-0.39481774264382963,0.5107409031126698,0,True,False
awgn,15,20260811,27,sobel_si,True,24,0.2452173913043478,-0.19332234882952248,0.6356454754981549,0,True,False
awgn,15,20260811,27,luma_sd,True,24,-0.1791304347826087,-0.6189308127613448,0.34680616482636817,0,True,False
awgn,15,20260811,27,edge_fraction,True,24,0.34608695652173915,-0.11413960574268552,0.7164113785557986,0,True,False
awgn,15,20260811,27,glcm_contrast,True,24,0.07217391304347824,-0.4195528277071459,0.5880832312367984,0,True,False
awgn,15,20260811,27,glcm_entropy,True,24,0.27478260869565213,-0.1994751228990309,0.679970177783637,0,True,False
awgn,15,20260811,27,glcm_homogeneity,True,24,0.17304347826086958,-0.31176589990127,0.625720939218154,0,True,False
awgn,15,20260811,32,sobel_si,True,24,0.47826086956521735,0.10021881838074401,0.7583518053477831,0,True,False
awgn,15,20260811,32,luma_sd,True,24,0.12521739130434784,-0.30091984231274643,0.5315264079638677,0,True,False
awgn,15,20260811,32,edge_fraction,True,24,0.6947826086956521,0.3881112670633098,0.8664910544093336,0,True,False
awgn,15,20260811,32,glcm_contrast,True,24,0.4434782608695652,0.0017497812773403364,0.7949212312320271,0,True,False
awgn,15,20260811,32,glcm_entropy,True,24,0.6373913043478261,0.28458844133099825,0.8372703412073492,0,True,False
awgn,15,20260811,32,glcm_homogeneity,True,24,0.5452173913043479,0.1589519650655022,0.8111888111888113,0,True,False
awgn,15,20260811,37,sobel_si,True,24,0.7130434782608696,0.4153152502387023,0.8750546089995632,0,True,False
