feature,variant,distortion,level,seed,qp,n_images,descriptor_rank_rho,cu_count_rank_rho,rho_clean,rho_noisy,clean_mean,clean_sd,clean_iqr,clean_min,clean_max,clean_range,clean_unique_values,clean_exact_one_count,noisy_mean,noisy_sd,noisy_iqr,noisy_min,noisy_max,noisy_range,noisy_unique_values,noisy_exact_one_count
edge_fraction,primary,awgn,5,20260812,22,24,0.9930434782608696,0.9497717119500987,0.7869565217391303,0.8197434418616923,0.31682665233195106,0.1468195313867354,0.2118555777402345,0.11404290175600267,0.6525700097271284,0.5385271079711258,24,0,0.3455244543422243,0.14651972336978938,0.21958800491475966,0.1417575385245482,0.674399733783853,0.5326421952593048,24,0
glcm_contrast,primary,awgn,5,20260812,22,24,0.966086956521739,0.9497717119500987,0.6347826086956522,0.7258099758446496,0.4277335816230643,0.25930318910845895,0.2522012967730025,0.16710404264322667,1.1643228904214835,0.9972188477782569,24,,0.5106102672325462,0.2500878582945726,0.24526165653978005,0.21664957349451253,1.224990191361138,1.0083406178666254,24,
glcm_entropy,primary,awgn,5,20260812,22,24,0.9739130434782608,0.9497717119500987,0.6704347826086956,0.646227456024655,2.3654332276100907,0.3857020941997733,0.3933056182368171,1.1660324757786817,3.1428731738348312,1.9768406980561495,24,,2.516611167815389,0.36179164109787065,0.3207380028683895,1.2952755812781735,3.2078318206843695,1.912556239406196,24,
glcm_homogeneity,primary,awgn,5,20260812,22,24,0.96,0.9497717119500987,-0.7139130434782609,-0.7131985382775466,0.8716240512044277,0.05409499919977894,0.06622044725747345,0.7469746214726523,0.9372633966933883,0.19028877522073606,24,,0.8333530988066817,0.04885544572848957,0.05302378365829752,0.728329922765915,0.913317032451048,0.184987109685133,24,
glcm_contrast,levels32,awgn,5,20260812,22,24,0.9991304347826087,0.9497717119500987,0.6217391304347826,0.6710154540013746,5.432155634030951,3.9693098218884812,3.613699446852203,1.8581172909591763,17.126638770827647,15.26852147986847,24,,6.1826614801223725,3.9479804874697555,3.5826733686158616,2.650544670105623,17.803123304943224,15.152578634837601,24,
glcm_entropy,levels32,awgn,5,20260812,22,24,0.9895652173913043,0.9497717119500987,0.6895652173913043,0.6836268915684776,4.557684008151786,0.5560463504237281,0.5715063649947041,3.224283710099381,5.607529771250913,2.3832460611515325,24,,4.8966583762376175,0.45220328074217125,0.43366463474705075,3.6965844469339397,5.752977877670262,2.0563934307363225,24,
glcm_homogeneity,levels32,awgn,5,20260812,22,24,0.9904347826086957,0.9497717119500987,-0.8269565217391304,-0.7971298296724043,0.6574791114668138,0.1027615056417906,0.14117647526503507,0.42096069806493797,0.8034001164621348,0.38243941839719686,24,,0.5353774886789703,0.06857888233056798,0.08513502178854648,0.38312669668607097,0.6811211022392821,0.29799440555321116,24,
glcm_contrast,horizontal,awgn,5,20260812,22,24,0.9756521739130434,0.9497717119500987,0.6704347826086956,0.7571211311836638,0.3208253672142966,0.20701243688564883,0.24541230627865576,0.1227998696219035,1.0011408083441982,0.8783409387222947,24,,0.4100413498756789,0.19770584416084397,0.22544685837782924,0.1763236432529335,1.0662254522490222,0.8899018089960887,24,
glcm_entropy,horizontal,awgn,5,20260812,22,24,0.9713043478260868,0.9497717119500987,0.6278260869565218,0.6331811413000658,2.2746677419141808,0.37061545193154344,0.38671099177547363,1.1162200986713104,3.05564129780395,1.9394211991326396,24,,2.448566366027854,0.34573621200797094,0.2976805904450299,1.2597675584866126,3.1358260359446377,1.8760584774580251,24,
glcm_homogeneity,horizontal,awgn,5,20260812,22,24,0.94,0.9497717119500987,-0.6834782608695652,-0.7710372002232257,0.8946888240990537,0.047316472775981694,0.05812988676729047,0.7867555598113505,0.9496778709728801,0.16292231116152966,24,,0.8524918746510352,0.04217256902542803,0.05185347472902213,0.7600560484270142,0.9239254419157468,0.16386939348873253,24,
sobel_si,primary,awgn,5,20260813,22,24,0.9991304347826087,0.9608695652173912,0.5539130434782609,0.6078260869565217,86.76512355807665,24.928701610454887,28.903198983501156,51.75380456078816,157.11382891853802,105.36002435774986,24,,84.64297122969471,24.89472328337776,27.86233362420606,50.13064433821846,154.7142133072,104.58356896898154,24,
