distortion,level,seed,qp,feature,primary,n_images,rho,oriented_rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate,permutation_p,holm_p,unique_feature_values,unique_density_values
awgn,15,20260811,32,glcm_homogeneity,True,24,-0.7913043478260869,0.7913043478260869,-0.9044278825076719,-0.5342944517256444,0,True,False,1e-05,0.00168,24,24
awgn,15,20260811,37,sobel_si,True,24,0.7191304347826086,0.7191304347826086,0.43244425010931353,0.8827133479212255,0,True,False,0.00011,0.009680000000000001,24,24
awgn,15,20260811,37,luma_sd,True,24,0.07999999999999999,0.07999999999999999,-0.37027264731750215,0.5343574980070357,0,True,False,0.70962,1.0,24,24
awgn,15,20260811,37,edge_fraction,True,24,0.8973913043478261,0.8973913043478261,0.7316295412971499,0.9527559055118112,0,True,False,1e-05,0.00168,24,24
awgn,15,20260811,37,glcm_contrast,True,24,0.8243478260869566,0.8243478260869566,0.59264843704612,0.9314888010540185,0,True,False,1e-05,0.00168,24,24
awgn,15,20260811,37,glcm_entropy,True,24,0.5295652173913044,0.5295652173913044,0.12143264657688513,0.7970253718285216,0,True,False,0.00867,0.3468,24,24
awgn,15,20260811,37,glcm_homogeneity,True,24,-0.8191304347826087,0.8191304347826087,-0.9158632778264681,-0.596144574784184,0,True,False,1e-05,0.00168,24,24
awgn,15,20260812,22,sobel_si,False,24,0.8339130434782608,0.8339130434782608,0.5896751589742646,0.9440571660755149,0,True,False,nan,nan,24,24
awgn,15,20260812,22,luma_sd,False,24,0.4260869565217391,0.4260869565217391,0.04469763365468887,0.7122868386532575,0,True,False,nan,nan,24,24
awgn,15,20260812,22,edge_fraction,False,24,0.7591304347826087,0.7591304347826087,0.4134128360279576,0.9310344827586206,0,True,False,nan,nan,24,24
awgn,15,20260812,22,glcm_contrast,False,24,0.6678260869565217,0.6678260869565217,0.28283380718353324,0.8918930793711112,0,True,False,nan,nan,24,24
awgn,15,20260812,22,glcm_entropy,False,24,0.5365217391304348,0.5365217391304348,0.09864094695309078,0.8225524475524475,0,True,False,nan,nan,24,24
awgn,15,20260812,22,glcm_homogeneity,False,24,-0.671304347826087,0.671304347826087,-0.8928908486501749,-0.28684210526315784,0,True,False,nan,nan,24,24
awgn,15,20260812,27,sobel_si,False,24,0.7826086956521738,0.7826086956521738,0.4993435448577681,0.9129287598944591,0,True,False,nan,nan,24,24
awgn,15,20260812,27,luma_sd,False,24,0.3826086956521739,0.3826086956521739,-0.014047410008779586,0.6790145049582452,0,True,False,nan,nan,24,24
awgn,15,20260812,27,edge_fraction,False,24,0.7591304347826087,0.7591304347826087,0.4531830378210748,0.8959790209790209,0,True,False,nan,nan,24,24
awgn,15,20260812,27,glcm_contrast,False,24,0.6678260869565217,0.6678260869565217,0.31994674356634195,0.8610378188214598,0,True,False,nan,nan,24,24
awgn,15,20260812,27,glcm_entropy,False,24,0.5078260869565218,0.5078260869565218,0.08493870402802098,0.8001752848378616,0,True,False,nan,nan,24,24
awgn,15,20260812,27,glcm_homogeneity,False,24,-0.6773913043478261,0.6773913043478261,-0.8609532138172278,-0.3339191178568593,0,True,False,nan,nan,24,24
awgn,15,20260812,32,sobel_si,False,24,0.7832137606328423,0.7832137606328423,0.5108492792917444,0.913347921225383,0,True,False,nan,nan,24,23
awgn,15,20260812,32,luma_sd,False,24,0.2561426457594359,0.2561426457594359,-0.1824613378311721,0.6200695379840125,0,True,False,nan,nan,24,23
awgn,15,20260812,32,edge_fraction,False,24,0.814959793129343,0.814959793129343,0.5623632385120351,0.916958041958042,0,True,False,nan,nan,24,23
awgn,15,20260812,32,glcm_contrast,False,24,0.7375516590967799,0.7375516590967799,0.4343600996614249,0.8930763175035437,0,True,False,nan,nan,24,23
awgn,15,20260812,32,glcm_entropy,False,24,0.5683844448346057,0.5683844448346057,0.16213847502191064,0.8319405330003726,0,True,False,nan,nan,24,23
awgn,15,20260812,32,glcm_homogeneity,False,24,-0.747553833718965,0.747553833718965,-0.8933567116178276,-0.44619487463419977,0,True,False,nan,nan,24,23
awgn,15,20260812,37,sobel_si,False,24,0.7078260869565216,0.7078260869565216,0.4084722345064553,0.8731984825437102,0,True,False,nan,nan,24,24
awgn,15,20260812,37,luma_sd,False,24,0.11130434782608697,0.11130434782608697,-0.3426824733236705,0.561297107445969,0,True,False,nan,nan,24,24
awgn,15,20260812,37,edge_fraction,False,24,0.9217391304347826,0.9217391304347826,0.7858391608391608,0.9630452472352395,0,True,False,nan,nan,24,24
awgn,15,20260812,37,glcm_contrast,False,24,0.8252173913043477,0.8252173913043477,0.5910230271048215,0.9314903048116776,0,True,False,nan,nan,24,24
awgn,15,20260812,37,glcm_entropy,False,24,0.5678260869565217,0.5678260869565217,0.16644455818928428,0.8196147110332748,0,True,False,nan,nan,24,24
awgn,15,20260812,37,glcm_homogeneity,False,24,-0.8391304347826086,0.8391304347826086,-0.925021795989538,-0.6234046260926315,0,True,False,nan,nan,24,24
awgn,15,20260813,22,sobel_si,False,24,0.8539130434782608,0.8539130434782608,0.6145036328701976,0.9529011574212257,0,True,False,nan,nan,24,24
awgn,15,20260813,22,luma_sd,False,24,0.41391304347826086,0.41391304347826086,0.033786748573935946,0.6989436619718309,0,True,False,nan,nan,24,24
awgn,15,20260813,22,edge_fraction,False,24,0.7643478260869565,0.7643478260869565,0.4422045719143133,0.914337535553132,0,True,False,nan,nan,24,24
awgn,15,20260813,22,glcm_contrast,False,24,0.6965217391304347,0.6965217391304347,0.3479202690088905,0.8864628820960698,0,True,False,nan,nan,24,24
awgn,15,20260813,22,glcm_entropy,False,24,0.5226086956521739,0.5226086956521739,0.09498582588061412,0.8140149845747027,0,True,False,nan,nan,24,24
awgn,15,20260813,22,glcm_homogeneity,False,24,-0.7104347826086956,0.7104347826086956,-0.8872870249017037,-0.36606751424813677,0,True,False,nan,nan,24,24
awgn,15,20260813,27,sobel_si,False,24,0.8295652173913042,0.8295652173913042,0.5963060686015831,0.937855579868709,0,True,False,nan,nan,24,24
awgn,15,20260813,27,luma_sd,False,24,0.4617391304347826,0.4617391304347826,0.09513269952173395,0.7218569107856962,0,True,False,nan,nan,24,24
awgn,15,20260813,27,edge_fraction,False,24,0.7730434782608695,0.7730434782608695,0.47345326897762186,0.911751856705985,0,True,False,nan,nan,24,24
awgn,15,20260813,27,glcm_contrast,False,24,0.691304347826087,0.691304347826087,0.34442013129102844,0.8812142542894854,0,True,False,nan,nan,24,24
awgn,15,20260813,27,glcm_entropy,False,24,0.5530434782608695,0.5530434782608695,0.14971181851490165,0.8117041559216047,0,True,False,nan,nan,24,24
awgn,15,20260813,27,glcm_homogeneity,False,24,-0.6982608695652174,0.6982608695652174,-0.8837920489296636,-0.35461303017052914,0,True,False,nan,nan,24,24
awgn,15,20260813,32,sobel_si,False,24,0.7921739130434782,0.7921739130434782,0.5345570640009639,0.9108001749016179,0,True,False,nan,nan,24,24
