distortion,level,seed,qp,feature,primary,n_images,source,oriented_feature_change,log_density_ratio,density_change_percent
stripes,32,,27,sobel_si,True,24,kodim03.png,-1.7777878107758625,-0.2200573559041059,-19.752722990874293
stripes,32,,27,sobel_si,True,24,kodim04.png,-1.1827356158768367,-0.3832012605126928,-31.832430891992026
stripes,32,,27,sobel_si,True,24,kodim05.png,-7.6949022235033055,-0.13615157842466694,-12.72896615957777
stripes,32,,27,sobel_si,True,24,kodim06.png,-3.4366724130871376,-0.13258446923822892,-12.417104962268466
stripes,32,,27,sobel_si,True,24,kodim07.png,-5.832774105381631,-0.20922696451707484,-18.87889013873266
stripes,32,,27,sobel_si,True,24,kodim08.png,-10.57171362770032,-0.13856118483006374,-12.939001848428832
stripes,32,,27,sobel_si,True,24,kodim09.png,-5.429130754429053,-0.14623499818689908,-13.604534844948313
stripes,32,,27,sobel_si,True,24,kodim10.png,-4.281003003752346,-0.18458720488857572,-16.85525695426685
stripes,32,,27,sobel_si,True,24,kodim11.png,-4.513483530836936,-0.11899805921292847,-11.219047619047618
stripes,32,,27,sobel_si,True,24,kodim12.png,-2.565388178397015,-0.16582597686250342,-15.280634734058173
stripes,32,,27,sobel_si,True,24,kodim13.png,-5.481240053952746,-0.11069786098529374,-10.479081430645365
stripes,32,,27,sobel_si,True,24,kodim14.png,-2.3298547069779545,-0.15197033322295533,-14.098623546705868
stripes,32,,27,sobel_si,True,24,kodim15.png,-4.506325745877831,-0.23717943552638068,-21.115027234860626
stripes,32,,27,sobel_si,True,24,kodim16.png,1.3875840963707304,-0.1263278734703356,-11.867416395383245
stripes,32,,27,sobel_si,True,24,kodim17.png,-1.4010427082157264,-0.25238069697498716,-22.30511003356955
stripes,32,,27,sobel_si,True,24,kodim18.png,-5.474017545276837,-0.13729715070643356,-12.828884194353762
stripes,32,,27,sobel_si,True,24,kodim19.png,-7.487729848038896,-0.22998928631652069,-20.545788506953542
stripes,32,,27,sobel_si,True,24,kodim20.png,-1.3231606177852484,-0.10462273099040173,-9.933574879227047
stripes,32,,27,sobel_si,True,24,kodim21.png,-7.021093979874152,-0.10178269430994236,-9.677419354838712
stripes,32,,27,sobel_si,True,24,kodim22.png,-3.803421091406321,-0.25099609887094726,-22.197459326944504
stripes,32,,27,sobel_si,True,24,kodim23.png,-2.1653239204540142,-0.3860113839512911,-32.02372127501854
stripes,32,,27,sobel_si,True,24,kodim24.png,-8.900628444281153,-0.20574628489504906,-18.59604157767335
stripes,32,,27,luma_sd,True,24,kodim01.png,5.803466413249481,-0.15655876200385024,-14.491873006228174
stripes,32,,27,luma_sd,True,24,kodim02.png,9.524966327770706,-0.15397186891931644,-14.270386266094414
stripes,32,,27,luma_sd,True,24,kodim03.png,5.801653118304259,-0.2200573559041059,-19.752722990874293
stripes,32,,27,luma_sd,True,24,kodim04.png,6.161048889266773,-0.3832012605126928,-31.832430891992026
stripes,32,,27,luma_sd,True,24,kodim05.png,3.955563527275906,-0.13615157842466694,-12.72896615957777
stripes,32,,27,luma_sd,True,24,kodim06.png,2.403361761237605,-0.13258446923822892,-12.417104962268466
stripes,32,,27,luma_sd,True,24,kodim07.png,6.387030418020672,-0.20922696451707484,-18.87889013873266
